Name,State,Year
Silas Goree,Alabama,1829
Lansford Stallings,Alabama,1845
Jeremiah Lynch,Alabama,1872
Abram S. Johnson,Alabama,1881
Seaborn J. Crook,Alabama,1881
William J. Street,Alabama,1883
Henry Dilmus Hart,Alabama,1884
Kinnard Barnes,Alabama,1885
John Robert Pugh,Alabama,1886
William D. Montgomery,Alabama,1886
Tim Anderson,Alabama,1887
John Manning Awtrey,Alabama,1888
D. J. Kinney,Alabama,1888
John Riley Manning,Alabama,1889
Robert King Vann,Alabama,1889
Joe Keith,Alabama,1890
William A. Hendon,Alabama,1890
Henry Barganier,Alabama,1892
James S. Childress,Alabama,1893
James Harris,Alabama,1893
James Thomas McClendon,Alabama,1893
James Walton Smith,Alabama,1894
J. W. Thompson,Alabama,1894
B. W. Pearce,Alabama,1894
Charles M. Cole,Alabama,1894
John Cowlett,Alabama,1894
Ed S. McMillan,Alabama,1895
Ed Jackson,Alabama,1895
James R. Stewart,Alabama,1895
James B. Foster,Alabama,1895
John F. Suggs,Alabama,1896
Louis Griffin Bass,Alabama,1896
Dick Wharton,Alabama,1897
Robert Warmock,Alabama,1898
James T. Cooley,Alabama,1900
George W. Kirkley,Alabama,1900
J. Wafe Adams,Alabama,1900
Hansford P. Gipson,Alabama,1901
Edward McGrath Morris,Alabama,1901
Joseph Littleton Edwards,Alabama,1901
John J. Flowers,Alabama,1902
James Payne,Alabama,1902
Pat A. Prout,Alabama,1902
William Gassaway,Alabama,1902
Charles Gassaway,Alabama,1902
Jesse Davis,Alabama,1902
John S. Harrington,Alabama,1902
Bob Wallace,Alabama,1902
William P. Walton,Alabama,1902
James H. Mullin,Alabama,1903
J. M. Bishop,Alabama,1903
Alfred Pinkney Jenkins,Alabama,1903
"William A. Russell, Jr.",Alabama,1903
Charles Haggerty,Alabama,1903
George Washington Bryan,Alabama,1904
"William Amslom Baber, Sr.",Alabama,1905
D. S. Putman,Alabama,1905
Calvin Childs,Alabama,1905
W. L. Steele,Alabama,1905
Will G. Jackson,Alabama,1905
William L. McCain,Alabama,1906
"Jesse Lemuel ""Lem"" Jones",Alabama,1906
Elbert R. Abernathy,Alabama,1906
John H. Hollis,Alabama,1907
Tom Thompson,Alabama,1907
John Roderick,Alabama,1907
Samuel H. Hamilton,Alabama,1907
William E. Haynes,Alabama,1908
Bentley MacFarland Burnett,Alabama,1908
Otha Zeiglar Dent,Alabama,1908
Robert Gardner,Alabama,1908
John W. Little,Alabama,1908
Willis A. Smith,Alabama,1908
Philip Fatch,Alabama,1909
John L. Wainwright,Alabama,1909
James H. Durand,Alabama,1909
George Clinton Eubank,Alabama,1909
T. Walter Berrey,Alabama,1910
Scott Taylor,Alabama,1910
Joseph W. Smith,Alabama,1910
"David Olius ""Ollie"" Battle",Alabama,1910
Loner Denson Camp,Alabama,1910
W. C. Wallace,Alabama,1910
John L. Cunningham,Alabama,1911
"S. C. ""Pad"" Zaner",Alabama,1911
William Lewis Staggs,Alabama,1911
Harmon Barton Patridge,Alabama,1911
Ernest William Birt,Alabama,1911
Hollis Brown Horton,Alabama,1911
John Perry Edwards,Alabama,1912
William A. Patterson,Alabama,1912
James A. Mansfield,Alabama,1912
Frank Childress,Alabama,1912
James Crawford Bonner,Alabama,1913
Samuel Ulysses Spence,Alabama,1913
William Benjamin Morgan,Alabama,1913
John Aquilla Moore,Alabama,1913
Hugh Tully,Alabama,1913
Jack Holland,Alabama,1914
Sanford S. Perryman,Alabama,1914
Wil G. Thrower,Alabama,1914
Harry Shiretzki,Alabama,1914
William J. Hart,Alabama,1914
Will Dillard,Alabama,1914
J. W. Dashwood,Alabama,1914
Hugh H. DeShazo,Alabama,1914
George Foote McNeill,Alabama,1915
H. Grady Granger,Alabama,1915
Joseph P. Stevens,Alabama,1915
Clarence B. Kettles,Alabama,1915
Marion Screws,Alabama,1915
Frank McKissack,Alabama,1916
"Lucious  ""Alvan"" North",Alabama,1916
"Thomas Benjamin ""Ben"" Wallace",Alabama,1916
Ike D. Chancey,Alabama,1916
Andrew Marvin Mulder,Alabama,1917
Palmer Morrison Watts,Alabama,1918
Milton Goocher,Alabama,1918
"Benjamin Lawrence ""Lon"" O'Bryant",Alabama,1918
J. Carl Goodwin,Alabama,1918
George A. Sims,Alabama,1918
"John M. ""Mood"" Dooley",Alabama,1918
James Henry Eubank,Alabama,1918
Frank A. Bass,Alabama,1918
John William Burk,Alabama,1918
Beldon Napoleon Little,Alabama,1919
John B. Barbaree,Alabama,1919
Earl Davis,Alabama,1919
John Dickerson Newby,Alabama,1919
George Luther Berrey,Alabama,1919
George Arnold Scott,Alabama,1919
Carl C. Anderson,Alabama,1919
John W. Sparks,Alabama,1919
Earl W. Truitt,Alabama,1919
Ben F. Barrett,Alabama,1920
James Benjamin Ramsey,Alabama,1920
Sam P. Dobyns,Alabama,1920
Walter Franklin Granger,Alabama,1920
John C. Thrower,Alabama,1920
Eugene Hobbs,Alabama,1921
"Edwin Anthony ""Ed"" Kirby",Alabama,1921
Don Stephenson,Alabama,1921
Carl Alex Brill,Alabama,1922
Albert W. Sansom,Alabama,1922
"Robert ""Bob"" Smith",Alabama,1922
Jesse G. Thomas,Alabama,1922
Brice Hurst,Alabama,1922
Joe Holliday,Alabama,1922
George Stuart Wilson,Alabama,1922
Henry H. Heard,Alabama,1923
Kenneth Thompson,Alabama,1923
Walter C. Hollums,Alabama,1923
Henry Ingram,Alabama,1924
James J. Shaw,Alabama,1924
James Early McGowan,Alabama,1924
Wilson H. Coleman,Alabama,1925
Lawrence Percy Dawson,Alabama,1925
Bert C. Johnson,Alabama,1926
John L. Campbell,Alabama,1926
Christopher M. Dean,Alabama,1926
Marvin Williams,Alabama,1926
Adus Egypsia Windham,Alabama,1927
Samuel Lewis Williams,Alabama,1927
Robert Allen Draper,Alabama,1927
Ray Payne,Alabama,1927
Burns Almon,Alabama,1927
Alexander A. Manley,Alabama,1927
Edward Nix,Alabama,1927
Howard E. Thurman,Alabama,1927
Arthur Lee Kelley,Alabama,1927
Lee Clark,Alabama,1927
Thomas P. Miller,Alabama,1927
John Perry Hood,Alabama,1928
John T. Rowland,Alabama,1928
James Crawford Drake,Alabama,1928
Elsie T. Lewis,Alabama,1928
Harry B. Lamb,Alabama,1928
Norris R. Scarbrough,Alabama,1928
Hugh Craft,Alabama,1929
John Wesley O'Bryen,Alabama,1929
Rexford C. Wright,Alabama,1929
William Murphy,Alabama,1929
Harris Milner,Alabama,1929
James Franklin Barbaree,Alabama,1929
D. E. Tidwell,Alabama,1929
Smith Owen Wester,Alabama,1930
Thomas E. Wright,Alabama,1930
Henry Francis Mills,Alabama,1930
George Washington Elliott,Alabama,1930
William F. Barr,Alabama,1931
Charles Lee Sims,Alabama,1931
Lee Edward Buckalew,Alabama,1931
Henry Clay Vaughn,Alabama,1931
Clayton J. Roney,Alabama,1931
John Oscar Johnson,Alabama,1931
"J. T. Gomillion, Jr.",Alabama,1932
Matthew L. Wann,Alabama,1932
"William S. ""Buck"" Jones",Alabama,1932
William Ira Latham,Alabama,1932
A. Claud Snider,Alabama,1932
Oscar Jerkins,Alabama,1933
Charles R. Smith,Alabama,1933
William Joseph Melton,Alabama,1933
Dumas Froy Phillips,Alabama,1934
"F. Augusta ""Gus"" Kimberly",Alabama,1934
Forest J. Harris,Alabama,1935
Clyde Appling,Alabama,1935
James M. Early,Alabama,1935
Edward DeFord,Alabama,1935
Raymond Mathis,Alabama,1936
Homer Earnest Poore,Alabama,1936
Thomas Jenkins Jones,Alabama,1936
Andrew O. Brassington,Alabama,1936
"Benjamin T. ""Benny"" McDonald",Alabama,1936
Grady Todd,Alabama,1936
John J. Bryant,Alabama,1936
William Maury Young,Alabama,1936
"Roy Eugene Mangum, Sr.",Alabama,1937
Andrew  Thomas Dutton,Alabama,1937
"William D. Raiford, Sr.",Alabama,1937
Cody Bettis,Alabama,1938
B. B. Cox,Alabama,1938
Hoyt Holder,Alabama,1938
Goode King Tait,Alabama,1938
William Thomas McMinn,Alabama,1939
"John Thomas Sanders, Sr.",Alabama,1939
James Tillman Moser,Alabama,1939
Bedford F. Brackeen,Alabama,1941
Jesse Franklin Rickels,Alabama,1941
John T. Oaks,Alabama,1941
Newton Edward Wolff,Alabama,1941
James Burton Burnett,Alabama,1941
G. A. DeLoach,Alabama,1942
J. O. Hammett,Alabama,1942
Charles Gordon Cox,Alabama,1942
Thomas Jackson Blake,Alabama,1942
Charles Cook,Alabama,1942
Ollie Mason,Alabama,1943
"William Richard ""Billy"" Coleman",Alabama,1943
Milton F. Ferguson,Alabama,1943
Pierce Lee Reeves,Alabama,1944
"John Alfred Salter, Sr.",Alabama,1944
Rufus Shelley Kendrick,Alabama,1945
C. C. Solomon,Alabama,1946
Arnold Jackson Dorman,Alabama,1946
"Leroy H. ""Shorty"" Thomas",Alabama,1947
R. E. Sparks,Alabama,1948
William Houston McCormack,Alabama,1948
Dewey Rickles,Alabama,1948
Frank Burkett,Alabama,1948
Harold E. Groover,Alabama,1949
Luther T. Bozeman,Alabama,1950
Marion C. Stalnaker,Alabama,1950
Washington May Bennett,Alabama,1951
Leonard J. Floyd,Alabama,1951
Sam Linn,Alabama,1951
S. R. Howton,Alabama,1951
E. M. Boyles,Alabama,1951
Clifford Peak,Alabama,1951
Arvil O. Hudson,Alabama,1952
Herman Treece,Alabama,1952
Frank Harbison,Alabama,1952
Alfred Wadsworth,Alabama,1952
J. Foster King,Alabama,1952
Henry Preston Bryant,Alabama,1952
Rex A. Sanford,Alabama,1952
Clyde Tatum,Alabama,1952
J. Kyle Young,Alabama,1952
Homer F. Hubbard,Alabama,1952
Julian F. Draughon,Alabama,1953
Edward Albert McCormack,Alabama,1953
Fred R. Brockman,Alabama,1953
Langston Wysner,Alabama,1953
Ewell B. Starr,Alabama,1953
William Roy Posey,Alabama,1954
James C. Langford,Alabama,1954
Ralph M. Griffin,Alabama,1954
Charlie G. Pearce,Alabama,1955
Dan Hubbard,Alabama,1955
Dudley Emerson Whiteside,Alabama,1955
Mack Norris,Alabama,1955
Frazier Cole,Alabama,1955
"Alan S. Logel, Jr.",Alabama,1956
John Frost,Alabama,1956
Ezra Sethal Smith,Alabama,1956
Howard Milford Brock,Alabama,1957
J. C. Woodham,Alabama,1957
Archie Brown Boutwell,Alabama,1957
James B. Clark,Alabama,1957
Alex Hurst,Alabama,1957
Emmett C. Bright,Alabama,1957
Henry J. Searcy,Alabama,1957
Patrick Herman Sandlin,Alabama,1958
Richard Revere Perkins,Alabama,1958
Dillard Willingham,Alabama,1958
Clyde Wesley Gregg,Alabama,1959
Norman Lee Read,Alabama,1959
"Horace C. ""Pot"" Hall",Alabama,1960
Ralph B. Thomas,Alabama,1960
Joe F. Partin,Alabama,1960
Anthony Scozzaro,Alabama,1961
James D. Sanford,Alabama,1961
Kelly Wilson Vaught,Alabama,1961
"Charles E. Drake, Jr.",Alabama,1962
"Troy Clifton ""Bud"" Willingham",Alabama,1962
Herbert C. Osborn,Alabama,1962
Thomas Estes Maxwell,Alabama,1962
Jean Hayden Youngblood,Alabama,1962
Loyd C. Hays,Alabama,1964
John Yancy Hilton,Alabama,1964
"Charles Herman Driggers, Sr.",Alabama,1964
Billy Daly,Alabama,1964
Conley Taylor,Alabama,1964
William Norvin Palmer,Alabama,1964
Jerry L. Darnell,Alabama,1964
Waylon W. Sewell,Alabama,1965
Raymond M. Carlton,Alabama,1965
Douglas William West,Alabama,1965
Dalton Toy Garner,Alabama,1965
Walter Britt Sawyer,Alabama,1966
Preston R. Butler,Alabama,1966
Bennie Loel Tarleton,Alabama,1967
Randolph G. Glover,Alabama,1967
Cecil Sullivan,Alabama,1967
Samuel D. Sumner,Alabama,1967
Larry Neal Stone,Alabama,1968
Joseph Vastine Herring,Alabama,1968
William T. Gaskin,Alabama,1968
Billy Ray Dease,Alabama,1968
Earl Royce Williams,Alabama,1968
Azell L. Harris,Alabama,1969
Brooks D. Lawson,Alabama,1969
Benton McLemore,Alabama,1969
"Walter A. Thackerson, Sr.",Alabama,1969
"Kenneth Lee Spencer, Jr.",Alabama,1969
Clarence Echols Martin,Alabama,1969
Vado Kivette,Alabama,1969
"Roland Hicks, Jr.",Alabama,1969
Roy Buford Blount,Alabama,1969
Waymond Halsey,Alabama,1970
Thomas Odean Gillilan,Alabama,1970
"John Castleman ""Cassie"" Owings",Alabama,1970
Harlan B. Blake,Alabama,1970
"Thomas Hadley Tyson, Jr.",Alabama,1970
William Luther Gulledge,Alabama,1970
"Moitt Brenton Truitt, Jr.",Alabama,1970
Shelby Freeman Owens,Alabama,1970
Drexel Rushing,Alabama,1971
D. Raleigh Clarke,Alabama,1971
Ormand Franklin Watkins,Alabama,1971
Robert H. Graham,Alabama,1971
"Wiley Ashley Clark, III",Alabama,1971
Riley Delano Smith,Alabama,1971
Oliver B. Temple,Alabama,1971
"Joseph Halbert Leavelle, Jr.",Alabama,1971
Robert E. Kendrick,Alabama,1971
Joseph Lee Maddox,Alabama,1971
Willie Lester Smith,Alabama,1972
Elmos Sewell Morgan,Alabama,1972
John Charles Thomas,Alabama,1972
Thomas L. Norman,Alabama,1972
James Buford Robinson,Alabama,1972
Henry L. Thompson,Alabama,1972
Charles Edward Bradford,Alabama,1972
Algie L. Long,Alabama,1973
Felix Underwood,Alabama,1973
Paul Ethan Small,Alabama,1973
Freddie Jackson Harp,Alabama,1973
Bobby S. Gann,Alabama,1974
Luell Wheeler Barrow,Alabama,1974
Kenyon M. Lassiter,Alabama,1974
Allen Lee Harmon,Alabama,1974
"Otis Lee ""Sonny"" Robison",Alabama,1974
Julian Douglas Stuckey,Alabama,1974
Raymond Earl Jarrell,Alabama,1974
Leo Glover,Alabama,1974
Luther F. Fails,Alabama,1974
Talmadge Hampton Smith,Alabama,1974
Irvin C. L. Starling,Alabama,1975
George Willard McGaughey,Alabama,1975
Robert David Stolz,Alabama,1975
David Eugene Beck,Alabama,1975
Kenneth James McDonald,Alabama,1975
Marcius Bruce Lee,Alabama,1975
"Joseph Pickens Brunson, Jr.",Alabama,1975
William Stanley Jones,Alabama,1975
Reuben D. Milam,Alabama,1976
Clarence Oden Martin,Alabama,1976
Dennis Rowe,Alabama,1976
William Evans Noble,Alabama,1976
William Henry Beard,Alabama,1977
"Lelon D. ""Red"" Sizemore",Alabama,1977
James Earl Rhodes,Alabama,1978
Robert C. Ussery,Alabama,1978
"Billy Fred Clardy, Jr.",Alabama,1978
Ronald E. Pope,Alabama,1978
Michael Lee Moreland,Alabama,1978
"Frank Johnson Stewart, Jr.",Alabama,1978
Robert Jackson,Alabama,1978
Johnnie Earl Booker,Alabama,1978
Michael Ray Twitty,Alabama,1979
Henry Johnny Booth,Alabama,1979
Clifford T. Hill,Alabama,1979
Albert Eugene Ballard,Alabama,1979
Newbern Brantley Moss,Alabama,1979
David E. Temple,Alabama,1979
"C. F. ""Neil"" Grantham",Alabama,1979
Phillip Samuel Feld,Alabama,1980
Arlyn Gae Lockley,Alabama,1980
Fred McLain,Alabama,1980
"Edward K. Alley, Jr.",Alabama,1980
Carlton Wayne Sudduth,Alabama,1980
John Ward Dotson,Alabama,1980
Gerald Leon Horn,Alabama,1981
George L. Claypool,Alabama,1981
Charles Ivan Baker,Alabama,1981
Tommy L. Thedford,Alabama,1981
George Steve Watkins,Alabama,1981
Cecil Craig Chatman,Alabama,1982
James W. Taylor,Alabama,1982
Ralph Byron Bentley,Alabama,1982
Robert Lee Nicholson,Alabama,1982
Mary P. McCord,Alabama,1982
Robert D. Patterson,Alabama,1982
Jimmy Ray McKiven,Alabama,1983
Nathaniel Conner,Alabama,1983
Rex Wright Winchester,Alabama,1983
Grady Russell Jackson,Alabama,1984
David W. Campbell,Alabama,1984
Marcus L. Reid,Alabama,1984
Sharon K. Robinson,Alabama,1984
Benjamin Marshall Holder,Alabama,1984
William Obra Wilson,Alabama,1984
Simmie L. Jeffries,Alabama,1984
Julius Norman Schulte,Alabama,1985
Donald Issac Hamby,Alabama,1985
John William Mann,Alabama,1985
Louie E. Cosby,Alabama,1985
Robert E. Armstrong,Alabama,1985
Larry D. Cawyer,Alabama,1985
Myron James Massey,Alabama,1985
James C. Vines,Alabama,1985
Charles William Biles,Alabama,1985
Stevie L. Thompson,Alabama,1986
Volmer D. Owen,Alabama,1986
John Robert Price,Alabama,1986
Frank H. Dunn,Alabama,1986
Leonard Wilbur Brand,Alabama,1986
George Todd Herring,Alabama,1987
John Drew Seifert,Alabama,1987
Howard Edward Dutton,Alabama,1987
Charles Rafael Alcuri,Alabama,1987
Elizabeth S. Cobb,Alabama,1987
Robert Dorsey Widener,Alabama,1989
Olen O'neal Kennamer,Alabama,1989
James Kidd,Alabama,1989
"Jerry Lewis Bradford, Sr.",Alabama,1989
James Monroe McGaha,Alabama,1989
"Dewey Wayne Dorsey, Sr.",Alabama,1989
Troy Duaine Woodall,Alabama,1990
Theron N. Houlditch,Alabama,1990
William E. Donaldson,Alabama,1990
Roy O'Neal Coleman,Alabama,1990
Herbert Keith McKelvy,Alabama,1990
Walter A. Sutton,Alabama,1990
Ted L. Dotson,Alabama,1990
James Leonard McCulloch,Alabama,1990
Robert William Jones,Alabama,1991
Richard H. Buckner,Alabama,1991
Ronald Edward Wascom,Alabama,1992
"Douglas Emil Kountz, Jr.",Alabama,1992
John Martin Huffman,Alabama,1992
James Felton Judd,Alabama,1993
Daniel Motley,Alabama,1993
Roger L. Motley,Alabama,1993
"John Henry Kennedy, Jr.",Alabama,1993
James Russell Ward,Alabama,1994
Coy N. Smith,Alabama,1994
Gary Wayne Heath,Alabama,1994
"Charles Andrew Farquhar, Jr.",Alabama,1994
Thomas Robert Lewis,Alabama,1994
Willie Henry Pryor,Alabama,1995
Gregory Bryan Gay,Alabama,1995
Billy Joe Thrower,Alabama,1995
James Mark Windsor,Alabama,1995
"Stewart L. Beasley, Jr.",Alabama,1995
Ernest Andrew Whitten,Alabama,1995
William Gerome Hardy,Alabama,1995
Owen Patrick McClinton,Alabama,1996
Willis Von Moore,Alabama,1996
Raymond Chandler,Alabama,1996
Charles Craig Greenwald,Alabama,1996
William F. Immer,Alabama,1997
"Anderson Gordon, III",Alabama,1997
Rufus Earle Brown,Alabama,1997
"Peter Christopher ""Chris"" McCurley",Alabama,1997
"Virgil W. Dobbs, Jr.",Alabama,1997
Henry Lloyd Brooks,Alabama,1997
"Robert ""Sande"" Sanderson",Alabama,1998
Keith Ashley Turner,Alabama,1998
"James Henry Roberts, III",Alabama,1998
Brian Keith Anderson,Alabama,1999
Nesby Leon Malone,Alabama,1999
Phillip Lorenzo Lee,Alabama,2000
Teresia Wheeler,Alabama,2001
Ronnie Bogan,Alabama,2001
Haskel Gene McLane,Alabama,2001
Timothy Williams,Alabama,2001
Brian Keith Nichols,Alabama,2002
Jimmy Dean Hutto,Alabama,2002
Joseph Jerome Daniels,Alabama,2002
"Daniel James Clark, Sr.",Alabama,2002
"Verlon LeMaster, Jr.",Alabama,2003
James Eddie Crump,Alabama,2003
"James Lansford ""Lance"" Horner, Jr.",Alabama,2003
Arnold Gunther Strickland,Alabama,2003
C. Robert Bennett,Alabama,2004
Michael Brandon Lassiter,Alabama,2004
"Harley Alfred Chisholm, III",Alabama,2004
Matthew Alan Thompson,Alabama,2004
Anthony Lee Mims,Alabama,2004
Carlos Winston Owen,Alabama,2004
Larry Wayne Russell,Alabama,2004
David Howell Jennings,Alabama,2004
Clinton Earl Walker,Alabama,2004
Daniel Howard Golden,Alabama,2005
"Dion Rastus Nelson, Sr.",Alabama,2005
Johnnie Lane Shaner,Alabama,2005
"Harold Loyd Thorne, Jr.",Alabama,2005
Micah Joe Burks,Alabama,2006
Anthony Maurice Andrews,Alabama,2006
Keith Edwin Houts,Alabama,2006
Mary Freeman Smith,Alabama,2006
Kenneth Armstrong,Alabama,2007
Dexter Holcomb,Alabama,2007
Elizabeth Franklin,Alabama,2007
William Eric Freeman,Alabama,2007
David Young,Alabama,2007
"Kenneth  ""Greg"" Surles",Alabama,2008
Geoffrey W. G. Stone,Alabama,2008
"Ervin Michael Hawk Johnston, II",Alabama,2008
Nathan Benjamin Mims,Alabama,2008
Rodney Kelley,Alabama,2008
James Dean Fezatte,Alabama,2008
Philip Mahan Davis,Alabama,2009
Brandon Nykori Sigler,Alabama,2009
James W. Anderson,Alabama,2009
William Dexter Hammond,Alabama,2009
Joshuah Patrick Broadway,Alabama,2009
"Maylond Thompson Bishop, Jr.",Alabama,2010
Raymundo Dominguez,Alabama,2010
Trevor Scott Phillips,Alabama,2011
Justin David Sollohub,Alabama,2011
David W. Riddlesperger,Alabama,2011
Donald Joshua Newman,Alabama,2011
"Steven Caserlos Dion Green, Sr.",Alabama,2012
Scott Jeffrey Ward,Alabama,2012
Michael Dale Stockwell,Alabama,2013
Jeffrey Hugh Bryant,Alabama,2013
Daniel Verle Davis,Alabama,2013
James Bart Hart,Alabama,2014
John Timothy Williamson,Alabama,2014
William Heath Kelley,Alabama,2014
Jeffrey Wayne Garrett,Alabama,2014
David Lee Colley,Alabama,2015
Richard Glenn Woods,Alabama,2015
Charles Kerry Mitchum,Alabama,2015
Roger Monroe Odell,Alabama,2015
Kenneth Levella Bettis,Alabama,2016
Levy Pettway,Alabama,2017
Justin Taylor Billa,Alabama,2018
Keith O'Neal Earle,Alabama,2018
"John Arthur ""Big John"" Williams, Sr.",Alabama,2019
"Billy Fred Clardy, III",Alabama,2019
Dornell Cousette,Alabama,2019
Sean Paul Tuder,Alabama,2019
"William Ray Buechner, Jr.",Alabama,2019
WyTasha Lamar Carter,Alabama,2019
"Julius Jamal ""Jay"" Dailey",Alabama,2019
Shawn Russell Caine,Alabama,2020
Parnell Laroy Guyton,Alabama,2020
Nicholas Daniel O'Rear,Alabama,2020
Gail S. Green-Gilliam,Alabama,2020
Randall Versie Smith,Alabama,2020
Mickey Jay Bowen,Alabama,2020
Stephen Paul Williams,Alabama,2020
Willie Earl Hall,Alabama,2021
Brandon Wyatt Ard,Alabama,2021
Buddy Ray Crabtree,Alabama,2021
Juan Manuel Gomez-Lopez,Alabama,2021
"James Nicholas ""Nick"" Risner",Alabama,2021
Michael L. Gillis,Alabama,2021
"William Henry Smith, Jr.",Alabama,2021
Jason Lynn Vice,Alabama,2021
"Maurice Jarrod ""Reese"" Jackson",Alabama,2021
"Harry Marvin ""Buddy"" Hutchinson, Jr.",Alabama,2021
Marquis Dewon Moorer,Alabama,2021
Jeffrey Shannon Bain,Alabama,2021
Richard Wendell Humphrey,Alabama,2021
"Madison ""Skip"" Nicholson",Alabama,2021
Darryl Wayne Fortner,Alabama,2022
Kevin Pounders,Alabama,2022
Steve Bobbitt,Alabama,2022
J'Mar Colin Abel,Alabama,2022
Keith Morgan,Alabama,2022
Christopher Michael Vaughn,Alabama,2022
Steven Ray Finley,Alabama,2022
Ivan Mauricio Lopez,Alabama,2022
Bradley Steven Henry Johnson,Alabama,2022
Alvin G. Miller,Alaska,1908
Charles H. Wiley,Alaska,1917
John J. Sturgus,Alaska,1921
Harry C. Kavanaugh,Alaska,1924
Doris Wayne Barber,Alaska,1960
LeRoy Garvin Bohuslov,Alaska,1964
Donald Thomas Dull,Alaska,1964
Gary George Wohlfeil,Alaska,1964
Kenneth G. Nauska,Alaska,1966
Benjamin Franklin Strong,Alaska,1968
"William G. Pfalmer, Jr.",Alaska,1970
Thomas Clifford Dillon,Alaska,1972
Earl Ray Hoggard,Alaska,1974
Larry Robert Carr,Alaska,1974
Dennis Finbar Cronin,Alaska,1974
Frank Stuart Rodman,Alaska,1974
Johnathan Paul Flora,Alaska,1975
Richard J. Adair,Alaska,1979
Jimmy Earl Kennedy,Alaska,1979
Harry Edward Kier,Alaska,1980
"Roland Edgar ""Skip"" Chevalier, Jr.",Alaska,1982
John David Stimson,Alaska,1983
Gordon Brewster Bartel,Alaska,1983
Troy Lynn Duncan,Alaska,1984
Ignatius John Charlie,Alaska,1985
"Harry Biddington Hanson, Jr.",Alaska,1986
Ronald Eugene Zimin,Alaska,1986
Louie Gordon Mizelle,Alaska,1989
Karl William Reishus,Alaska,1992
Anthony Crawford Jones,Alaska,1992
Claude Everett Swackhammer,Alaska,1994
Robert Lee Bittick,Alaska,1994
Dan Richard Seely,Alaska,1996
Bruce Alan Heck,Alaska,1997
David C. Churchill,Alaska,1998
John Kevin Lamm,Alaska,1998
"James Arland Rowland, Jr.",Alaska,1999
Hans-Peter Roelle,Alaska,2001
James A. Moen,Alaska,2001
Justin Todd Wollam,Alaska,2001
James C. Hesterberg,Alaska,2002
John Patrick Watson,Alaska,2003
Matthew Dean Tokuoka,Alaska,2010
Anthony Michael Wallace,Alaska,2010
Tage Brandel Toll,Alaska,2013
Thomas O. Madole,Alaska,2013
Gabriel Lenox Rich,Alaska,2014
Patrick Scott Johnson,Alaska,2014
Allen David Brandt,Alaska,2016
Cornelius Sage,Arizona,1865
James T. Dana,Arizona,1871
James Haines,Arizona,1879
Frederick H. White,Arizona,1880
James Almeron Richmond,Arizona,1880
"Gerald F. ""Paddy"" Creaghe",Arizona,1880
Kiv Phillips,Arizona,1882
D. Tom Smith,Arizona,1883
Andrew W. Holbrook,Arizona,1883
Isaac L. Roberts,Arizona,1884
John M. Murphy,Arizona,1885
Casper Albert,Arizona,1885
William A. Daniels,Arizona,1885
George W. Lockhart,Arizona,1887
Cesario Lucero,Arizona,1888
Hank Frost,Arizona,1888
William A. Holmes,Arizona,1889
Glenn Reynolds,Arizona,1889
William W. Lowther,Arizona,1890
"Jeremiah ""Jerry"" Ryan",Arizona,1890
Ben Williams,Arizona,1890
James Gabriel Hawkins,Arizona,1891
Charles L. Flake,Arizona,1892
William Elliott,Arizona,1892
Jake Bowman,Arizona,1893
"Ted ""Sid"" Moore",Arizona,1899
Chet L. Ainsworth,Arizona,1899
Carlos Tafolla,Arizona,1901
John McCarty,Arizona,1901
Matthew B. DeVane,Arizona,1901
William Thomas Maxwell,Arizona,1901
William H. Katzenstein,Arizona,1902
Thomas M. Vaughn,Arizona,1903
Arthur A. Wight,Arizona,1904
William Joe Giles,Arizona,1905
Charles B. Edwards,Arizona,1908
Esquipulo Dominguez,Arizona,1908
Charles Emmerson King,Arizona,1910
John D. Garnett,Arizona,1911
Charles Sinclair Wood,Arizona,1911
Edward Landers Drew,Arizona,1911
Frank Eugene Trask,Arizona,1911
"Tom ""Jack"" Campbell",Arizona,1912
Albert Munguia,Arizona,1912
William Dobson,Arizona,1912
John Rooney,Arizona,1913
Joe W. Meeks,Arizona,1913
Hyram Smith Peterson,Arizona,1913
Edward J. Miller,Arizona,1913
James A. Mercer,Arizona,1914
William Phineas Brown,Arizona,1914
John C. Power,Arizona,1914
Orson McRae,Arizona,1917
Martin R. Kempton,Arizona,1918
Joseph E. Donaldson,Arizona,1918
James Lowry,Arizona,1918
Thomas Kane Wooten,Arizona,1918
Robert F. McBride,Arizona,1918
John Franks,Arizona,1918
Victor Hugo Melick,Arizona,1919
Albert Nettle,Arizona,1919
"Andrew E. ""Shep"" Sheppard",Arizona,1920
"Edward Frank Bowers, Jr.",Arizona,1921
Cyrus M. Spangler,Arizona,1921
Leonard A. Smith,Arizona,1922
Almon W. Dana,Arizona,1922
George James White,Arizona,1922
Haze Burch,Arizona,1925
D. Elmer Edwards,Arizona,1926
"Elwin Buchanan ""Bill"" Conoley",Arizona,1927
William Sterling Ashby,Arizona,1928
Clifford W. Nelson,Arizona,1928
Lee Wright,Arizona,1930
Joseph Calvin Dillman,Arizona,1932
Jesse E. Hood,Arizona,1932
Fred Kenney,Arizona,1932
Dave Rees,Arizona,1933
Robert V. Cummins,Arizona,1936
Edward J. Roberts,Arizona,1937
Oscar McAda,Arizona,1937
Jack Hickox,Arizona,1938
John Nunn,Arizona,1942
Samuel Dow Blackwell,Arizona,1943
George Edward Hicks,Arizona,1943
