Name,Age,Cause
Jag,8.0,Struck by vehicle
Roscoe,12.0,Automobile crash
Jardo,6.0,Gunfire
Credo,4.0,Gunfire (Inadvertent)
Jethro,2.0,Gunfire
Ty Vom Friedrichsfelder Eck,4.0,Other
Thor,3.0,Other
Forest,2.0,Gunfire
Payne,2.0,Gunfire
Krijger,4.0,Gunfire
Roscoe,2.0,Gunfire
Cain,2.0,Stabbed
Dingo,7.0,Gunfire
Will,3.0,Gunfire (Inadvertent)
Ranger,9.0,Other
Doki,2.0,Heatstroke
Gunner,6.0,Heatstroke
Dino,7.0,Duty related illness
Koda,7.0,Duty related illness
Chris,8.0,Gunfire
Endy,8.0,Heatstroke
Freckles,11.0,Heatstroke
Rico,3.0,Gunfire
Kyro,4.0,Gunfire (Inadvertent)
Jax,4.0,Stabbed
Ori,1.0,Struck by vehicle
Argo,3.0,Fall
Aron,6.0,Heatstroke
Choper,5.0,Fall
Kastor,2.0,Gunfire (Inadvertent)
Bane,1.0,Gunfire
Rocky,3.0,Other
Bandit,4.0,Gunfire (Inadvertent)
Benzi,3.0,Gunfire (Inadvertent)
Cade,5.0,Duty related illness
Max,9.0,Heatstroke
Smokey,3.0,Struck by vehicle
Bane,3.0,Other
Grunt,8.0,Other
Hemi,6.0,Gunfire
Cigo,3.0,Gunfire
Eico,2.0,Struck by vehicle
Rush,4.0,Duty related illness
Axe,4.0,Gunfire
Turbo,2.0,Heatstroke
Midas,4.0,Heatstroke
Fang,3.0,Gunfire
Vader,2.0,Gunfire
Brock,4.0,Other
Nell,3.0,Other
Scout,6.0,Other
Rocco,1.0,Struck by vehicle
Koki,5.0,Gunfire
Harlej,5.0,Gunfire
Assuan,7.0,Other
Jake,6.0,Other
Haas,3.0,Gunfire
Cane,1.0,Other
Hooch,7.0,Struck by vehicle
Able,6.0,Duty related illness
Chopper,6.0,Struck by vehicle
Doby,2.0,Duty related illness
Rocco,7.0,Struck by vehicle
Biggie,5.0,Heatstroke
EJ,6.0,Heatstroke
Eli,9.0,Heatstroke
Bulder,4.0,Gunfire
Niki,9.0,Automobile crash
Verro,8.0,Gunfire (Inadvertent)
Windy,5.0,Other
Rambo,4.0,Struck by vehicle
Chucky,6.0,Gunfire
Thor,8.0,Heatstroke
Havoc,7.0,Struck by vehicle
Max,6.0,Other
King,7.0,Other
Bonnie,7.0,Struck by vehicle
Blue,5.0,Duty related illness
Chance,7.0,Other
Diesel,6.0,Struck by vehicle
Blue,5.0,Gunfire
Tango,5.0,Other
Hondo,7.0,Gunfire
Oli,4.0,Duty related illness
Sjaak,8.0,Gunfire
Ronja,2.0,Gunfire
Cara,3.0,Fall
Roscoe,3.0,Gunfire
Titan,7.0,Fall
