Name,Age,Cause
Warren Byron Willard,36.0,Gunfire
Robert Squires,44.0,Gunfire
E. G. Heilman,65.0,Gunfire
Edward L. Spielman,38.0,Gunfire
George E. Claus,47.0,Gunfire
Ralph W. Henderson,30.0,Gunfire
Charles H. Slaughter,29.0,Gunfire
Oscar Miller Martin,34.0,Gunfire
Charles Stephens,32.0,Gunfire
William H. Abbott,39.0,Gunfire
Thomas Dowling,23.0,Gunfire
James Delahunty,55.0,Gunfire
J. Coleman Dawson,45.0,Gunfire
Joseph Robert Free,30.0,Gunfire
Michael King,46.0,Other
Albert Munguia,38.0,Gunfire
James H. Murphy,32.0,Gunfire
Pleasant Clay Oakes,49.0,Gunfire
John Perry Edwards,67.0,Gunfire
Clarence Livingston,31.0,Gunfire
John T. Grant,39.0,Gunfire
William H. Loud,58.0,Gunfire
Lloyd James Spaur,29.0,Gunfire
Antonio Anguiano,39.0,Gunfire
John W. Powers,48.0,Motorcycle crash
Patrick Andrew Carr,42.0,Gunfire
Tomas Campbell,32.0,Gunfire
Thomas Edmond Young,40.0,Other
John C. Howard,30.0,Gunfire
Harry S. Murphy,29.0,Gunfire
Otto W. Hennech,33.0,Other
Charles A. Williams,42.0,Gunfire
Robert L. Cares,38.0,Gunfire
James R. Dodd,52.0,Other
Joseph Coody,40.0,Other
David M. Simpson,26.0,Other
Porter Sanders,35.0,Gunfire
William Dobson,32.0,Gunfire
James Eli Parish,33.0,Gunfire
Norman Helmer,34.0,Gunfire
"William Hampton Arendale, Sr.",27.0,Gunfire
George W. Greenstreet,37.0,Other
Frank Ford,36.0,Gunfire
Dennis O'Donnell,50.0,Gunfire
Joseph M. Kroskey,40.0,Gunfire
Archer Thomas Belcher,47.0,Other
Edward J. Stephens,50.0,Other
John J. McGovern,33.0,Gunfire
William P. Harris,47.0,Gunfire
James Skinner,50.0,Other
Jasper Westfall,40.0,Gunfire
Santiago Hinojosa,37.0,Gunfire
Charles H. Bates,33.0,Gunfire
Alexander Knapp,50.0,Gunfire
Olaf Riser,29.0,Other
"Francis Allen ""Frank"" Colclough",55.0,Gunfire
Colin McMillan,30.0,Gunfire
Thomas F. Dynan,60.0,Other
Robert S. Walker,49.0,Gunfire
William A. Patterson,39.0,Gunfire
James Blake Myers,52.0,Gunfire
John Baird,33.0,Gunfire
Loren J. Veley,59.0,Gunfire
James Singleton,28.0,Vehicle pursuit
Samuel T. Thompson,54.0,Gunfire
John E. McKinney,38.0,Gunfire
Taylor L. Jenkins,27.0,Gunfire
Herbert Paul Nisler,21.0,Other
Albert R. Peterson,36.0,Gunfire
George Claude Kloster,42.0,Gunfire
John B. Eastep,51.0,Gunfire
William McPherson,35.0,Gunfire
Charles Berry,37.0,Other
Henry Wagner,53.0,Gunfire
J. Myron Miller,41.0,Gunfire
John J. Nolan,35.0,Other
Theodore Alonzo Tedford,41.0,Gunfire
Josiah M. Hall,23.0,Gunfire
George W. Freeman,40.0,Other
Peter Fitzsimons,51.0,Struck by vehicle
Benjamin James Drake,31.0,Other
Samuel Stair,43.0,Gunfire
Elbert Norton Hanks,43.0,Gunfire
Frank David Mayrose,34.0,Other
Frank Welch,32.0,Gunfire
Leroy Bouker,52.0,Gunfire
Edward Parker,31.0,Gunfire
James P. Gearen,52.0,Gunfire
Simon J. Bermingham,47.0,Gunfire
Neil Christian,36.0,Gunfire
John J. Gaffney,38.0,Gunfire
Oscar Leonard Nance,41.0,Gunfire
William S. Brazil,50.0,Gunfire
Lewis F. Webb,64.0,Gunfire
Philip Kelley,53.0,Other
Carl Besalki,35.0,Gunfire
Lloyd Newman Robinson,29.0,Gunfire
Joseph L. Crixell,41.0,Gunfire
James A. Mansfield,41.0,Gunfire
Walter Reed,42.0,Gunfire
Caswell S. Matthews,54.0,Gunfire
Fred C. Griffin,51.0,Gunfire
Morgan Morgans,33.0,Gunfire
Lee Barker,62.0,Heart attack
Frank Childress,42.0,Gunfire
"William  ""Billie"" Nelson",23.0,Gunfire
Edward D. Davis,63.0,Other
Daniel C. Hansen,42.0,Gunfire
John M. Taylor,42.0,Gunfire
Joseph Dolphin,35.0,Struck by vehicle
Toribio Rodriquez,22.0,Gunfire
Peter Monroe Solomon,56.0,Other
Charles E. Davison,43.0,Gunfire
Thomas Farrell,38.0,Gunfire
Emery E. Campbell,33.0,Gunfire
John C. Rheinbold,30.0,Gunfire
"John S. H. ""Jack"" Howard",41.0,Gunfire
Eugene Burns,45.0,Struck by vehicle
James Maxie King,45.0,Gunfire
William T. Spears,41.0,Automobile crash
Allen D. McGown,38.0,Other
John Blair,45.0,Gunfire
John Bowman,49.0,Gunfire
"John Brooke Harter, Sr.",40.0,Gunfire
Frederick Holwedel,27.0,Gunfire
Joseph H. McNierney,45.0,Other
John Zoller,49.0,Gunfire
John Rooney,53.0,Gunfire
Phillip Lynn,60.0,Gunfire
Thomas F. Griffiths,39.0,Gunfire
Peter M. Hart,32.0,Gunfire
John H. Gaines,50.0,Gunfire
James W. Witcher,37.0,Gunfire
James J. Arnold,24.0,Gunfire
Peder Thomas Johnson,36.0,Gunfire
William Cyrus Barrow,68.0,Gunfire
B. Frank Kinstly,43.0,Gunfire
Charles P. Gillin,36.0,Other
Warren M. Fleming,57.0,Gunfire
Robert Patton McMinn,46.0,Other
Rory Jay Draughn,45.0,Gunfire
Charles Ledwith,34.0,Gunfire
Charles B. Teare,36.0,Gunfire
John Mann,34.0,Gunfire
John Dennis,42.0,Gunfire
James Crawford Bonner,33.0,Other
Samuel Ulysses Spence,42.0,Gunfire
Richard Stanley Worley,44.0,Motorcycle crash
William J. Kerstetter,46.0,Gunfire
Robert V. Myers,22.0,Other
Thomas F. Madden,36.0,Gunfire
Grover Scott Russell,25.0,Gunfire
Clem Howard,26.0,Gunfire
August H. Dickman,37.0,Gunfire
Allen Scribner,26.0,Gunfire
Arthur M. Bateman,38.0,Gunfire
Michael Entinger,52.0,Gunfire
Charles James Lathrop,40.0,Gunfire
Eli B. Stetser,61.0,Gunfire
Warren K. Snow,35.0,Gunfire
William F. Baldwin,24.0,Gunfire
Charles W. Schoof,26.0,Gunfire
John William Woods,30.0,Gunfire
James David Lamb,46.0,Gunfire
Harrison Clement Hitch,51.0,Gunfire
Edgar Pleman Harris,42.0,Gunfire
Charles Dickey,37.0,Gunfire
Walter Gray Morgan,32.0,Gunfire
J. Rollin Cooler,37.0,Gunfire
Byron C. Wood,39.0,Gunfire
Michael Mooney,58.0,Gunfire
Fred Arthur Wilson Goddard,29.0,Other
Henry N. Norman,54.0,Gunfire
William B. Heaney,25.0,Gunfire
Joe W. Meeks,39.0,Gunfire
John B. Russell,45.0,Gunfire
William F. McAndrew,42.0,Gunfire
John C. Coomer,52.0,Gunfire
Homer Riggle,37.0,Gunfire
Gill P. Cates,39.0,Gunfire
Ora D. Ambrose,25.0,Automobile crash
James Sutton,47.0,Gunfire
John A. Ogletree,36.0,Gunfire
Octavio Monico Puig,27.0,Gunfire
W. Richard Duncan,41.0,Gunfire
Daniel Gibbons,32.0,Other
Willie W. Heath,56.0,Gunfire
Ottawa Douglas,27.0,Gunfire
Edgar Lewis Dye,36.0,Other
Richard Burmeister,33.0,Gunfire
Manuel Dionizio Abreu,33.0,Gunfire
August D. Singler,36.0,Gunfire
Andrew Lynch,38.0,Gunfire
Christopher Keenan,55.0,Other
Samuel L. Queen,40.0,Gunfire
Eugene Reardon,67.0,Gunfire
Harry Floyd Hooker,33.0,Gunfire
Joseph Lavender,55.0,Other
Thomas Thomas,38.0,Other
John Robert Estridge,39.0,Gunfire
John J. McDonough,40.0,Other
Charles Harris,40.0,Other
William Avery Sexton,32.0,Other
Candelario Ortiz,48.0,Gunfire
Joseph Budde,45.0,Gunfire
William Joseph Lydon,60.0,Struck by vehicle
William Guillermo Bouett,53.0,Other
Walter Wren Ball,22.0,Gunfire
Asa T. Pettit,39.0,Gunfire
Robert D. Stewart,36.0,Other
Ernest Raynaud,28.0,Other
William Charles Farquhar,46.0,Other
Thomas Inman Slaton,28.0,Gunfire
Charles D. Artzt,41.0,Gunfire
Norman F. Patterson,61.0,Gunfire
Joseph Eonikos,26.0,Gunfire
Maurice William Halloran,35.0,Gunfire
Groves Benton Hammett,34.0,Gunfire
Patrick Cotter,27.0,Gunfire
Thomas Dodsworth,51.0,Gunfire
Theodore Shelton Cherry,36.0,Gunfire
Robert Lee Bain,30.0,Gunfire
William Benjamin Morgan,41.0,Gunfire
"J. H. ""Buster"" Suber",29.0,Other
William Henry Garlick,45.0,Gunfire
Lewis Blair,31.0,Gunfire
"James M. Pollock, Jr.",25.0,Gunfire
Joseph E. Prince,57.0,Other
Patrick B. Driscoll,56.0,Gunfire
James Nelson Singleton,28.0,Gunfire
"Charles Thomas ""Tom"" Rushing",39.0,Gunfire
John S. Davis,37.0,Other
Napolean B. Hagan,42.0,Gunfire
Albert Johnson Franklin,41.0,Gunfire
Virgil B. Stamps,33.0,Gunfire
Oscar Marcellus Terry,35.0,Other
John Aquilla Moore,27.0,Gunfire
Hyram Smith Peterson,53.0,Gunfire
Abner Leonard Board,65.0,Gunfire
John Charles Cash,33.0,Other
Bernard O'Rourke,31.0,Other
Martin F. Windt,30.0,Gunfire
Marion Ramey,30.0,Gunfire
John Sloan,37.0,Gunfire
Maurice Dudley Beane,37.0,Gunfire
Albert Miller,32.0,Other
Daniel J. Lane,34.0,Other
William Franklin Koger,54.0,Gunfire
Lon D. Muxlow,41.0,Gunfire
Alfred Victor Bonnet,29.0,Motorcycle crash
James M. Griffin,28.0,Gunfire
Hugh J. Clarke,39.0,Other
Grant C. Alexander,51.0,Gunfire
Tom A. Courtney,37.0,Gunfire
William J. Clossey,45.0,Automobile crash
Edward J. Miller,48.0,Gunfire
George B. Anderson,40.0,Automobile crash
A. B. Cheney,32.0,Gunfire
Charles Sanderson,36.0,Gunfire
James C. Jacoby,56.0,Gunfire
John Ryan,28.0,Automobile crash
Herman H. Drover,49.0,Gunfire
James Francis Crehan,32.0,Other
William Isham Taylor,32.0,Other
Peter Feiler,31.0,Gunfire
Edward Barrett,30.0,Gunfire
Albert Schultz,28.0,Gunfire
Ulysses Grant McCory,43.0,Gunfire
William Easley Blakemore,48.0,Gunfire
Beverly Gerome McCowan,34.0,Gunfire
Michael J. Sullivan,52.0,Other
Silas Frank Nance,47.0,Gunfire
James Ballard,36.0,Gunfire
Frank A. Sankey,32.0,Gunfire
Albert W. Moe,30.0,Other
John C. Middlekauff,36.0,Gunfire
Levi A. Ezzell,38.0,Other
John Drewry,46.0,Other
Joseph Guarnieri,30.0,Gunfire
August Kokko,45.0,Gunfire
Francis J. O'Grady,44.0,Other
"Lafayette ""Lafe"" Hampton",28.0,Gunfire
John A. Collins,34.0,Gunfire
George H. Shearer,41.0,Gunfire
Thomas Wynn,35.0,Gunfire
John E. Hodgins,38.0,Automobile crash
Henry P. Cisco,56.0,Gunfire
Harry Hinton,30.0,Other
Harry Shiretzki,28.0,Gunfire
"R. P. ""Bob"" Hollowell",41.0,Motorcycle crash
"John V. Cain, Jr.",47.0,Gunfire
William J. Hart,30.0,Gunfire
Juan A. Colon,27.0,Gunfire
Moses Price,45.0,Gunfire
Robert Lee Pippin,48.0,Gunfire
James Allie Baucus,56.0,Gunfire
George H. Trumbull,37.0,Gunfire
Robert J. Thurman,35.0,Gunfire
George Jackson Rodolph,23.0,Gunfire
Samuel H. Holmes,31.0,Motorcycle crash
William D. Saunders,37.0,Other
Lem E. Mitchell,59.0,Other
Henry B. Crane,34.0,Gunfire
Thomas J. Norton,49.0,Gunfire
John Henry Feeley,42.0,Gunfire
"Isaac ""Ike"" Parsons",28.0,Other
James Coats,48.0,Gunfire
John Clifton,49.0,Gunfire
Andrew Jackson,36.0,Other
Edward Murtha,30.0,Gunfire
Jacob Manko,26.0,Gunfire
Charles Burrell,33.0,Gunfire
Lyle G. Mathews,45.0,Gunfire
Henry J. Arends,44.0,Other
Charles J. Benderoth,33.0,Motorcycle crash
Will Dillard,42.0,Gunfire
"G. A. ""Andy"" Fambrough",36.0,Gunfire
Daniel I. Talbert,56.0,Gunfire
Harvey Dennis Hand,55.0,Other
John J. Burke,35.0,Gunfire
Leroy Bailey,20.0,Other
Edmond Lehane,28.0,Other
George W. LaPorte,45.0,Gunfire
James P. Parkinson,44.0,Other
Samuel Henderson Smith,37.0,Gunfire
Michael Grab,43.0,Other
Fred C. Godfrey,38.0,Gunfire
Francis Marion Bass,28.0,Gunfire
Henry H. Kolbe,53.0,Gunfire
William O. Johnson,40.0,Gunfire
James A. Mercer,42.0,Gunfire
Thomas C. Logan,48.0,Gunfire
George F. Campbell,53.0,Gunfire
Robert Terry McMurtry,36.0,Gunfire
Edward F. Knaul,50.0,Gunfire
John G. Gordon,36.0,Gunfire
Arthur S. Hubbard,37.0,Gunfire
D. A. Stanfield,73.0,Gunfire
P. C. Simon,35.0,Gunfire
George S. Striebich,32.0,Other
William Phineas Brown,32.0,Gunfire
John W. Scott,42.0,Other
John Rowe,53.0,Gunfire
Austin L. Fitch,34.0,Motorcycle crash
Oscar M. Christian,41.0,Other
John Flemon Lindsey,33.0,Gunfire
Ernest G. Berry,35.0,Gunfire
James S. Payne,46.0,Gunfire
John Mee,35.0,Other
Bernard C. McKernan,37.0,Gunfire
J. W. Dashwood,45.0,Gunfire
William Moses,52.0,Gunfire
Bert Wootan,27.0,Gunfire
Frank Mullen,34.0,Gunfire
Arthur Taylor,35.0,Other
George Washington Samples,55.0,Gunfire
John W. Gaines,66.0,Gunfire
Neil Mooney,32.0,Gunfire
James F. Smith,35.0,Gunfire
"Andrew Harrison Roberts, Sr.",77.0,Other
Lawrence Newbern,60.0,Gunfire
William H. Veach,42.0,Other
Hugh H. DeShazo,28.0,Gunfire
Sylvester V. Dew,35.0,Gunfire
Sylvester M. Turpin,48.0,Gunfire
Luther Colson,33.0,Gunfire
James Wood,22.0,Gunfire
Anthony B. Couts,23.0,Gunfire
Samuel S. Taylor,38.0,Gunfire
Samuel C. Hickey,45.0,Gunfire
James Franklin Newman,65.0,Gunfire
Edmund E. Hanske,46.0,Vehicular assault
James R. White,35.0,Struck by vehicle
Hans Aamold,47.0,Gunfire
Michael Kiley,57.0,Gunfire
Cleveland Kemp,30.0,Other
William Daywalt,39.0,Gunfire
Frank Dealy,48.0,Gunfire
Edward Sam Stockard,36.0,Gunfire
Robert F. Stephens,22.0,Other
D. C. Oates,43.0,Gunfire
Stanley J. Birns,35.0,Other
Thomas Yowell Moorhead,43.0,Gunfire
Henry Grady Bennett,24.0,Gunfire
W. I. Wright,48.0,Automobile crash
Lafayette Mercer,52.0,Gunfire
William J. Geib,40.0,Other
William Baker Andis,57.0,Gunfire
George Thomas Cherryhomes,44.0,Gunfire
"Michael A. McGinley, Jr.",49.0,Gunfire
James L. Grayson,27.0,Gunfire
Rufus A. Beagle,52.0,Gunfire
Patrick A. Butler,60.0,Vehicular assault
Lawrence E. Kost,24.0,Gunfire
Jeff Goff,50.0,Gunfire
Thomas Harris Dickinson,64.0,Other
Charles E. McIntosh,45.0,Gunfire
Francis A. Burke,32.0,Other
G. Ralph Ellis,25.0,Gunfire
Wesley Dunn,33.0,Gunfire
Charles Ferdinand Vorbusch,24.0,Gunfire
John J. Finnell,44.0,Gunfire
Grover Cleveland Blanton,30.0,Gunfire
Leslie D. Johnson,25.0,Gunfire
G. Frank Coffey,37.0,Gunfire
Walter Bosscawen,38.0,Gunfire
George Foote McNeill,36.0,Gunfire
A. T. Murray,53.0,Gunfire
John Flynn,45.0,Gunfire
Charles Whitney Smith,42.0,Gunfire
John Savage West,59.0,Gunfire
William L. Humphries,40.0,Gunfire
George Dapping,26.0,Gunfire
Joseph Carl Akin,26.0,Gunfire
Pablo Falcon,37.0,Gunfire
Julius S. Brett,45.0,Gunfire
Henry Palen Tracy,51.0,Struck by vehicle
"John Rhinehart ""Bob"" Riblet",31.0,Gunfire
Ludwig Rudolph Skala,38.0,Motorcycle crash
John J. Connell,54.0,Gunfire
Charles H. Miller,40.0,Gunfire
Raymond Earl Hacker,25.0,Gunfire
Lee Russell,33.0,Gunfire
Lem Thompson,39.0,Other
Eugene B. Hulen,36.0,Gunfire
Adolf Reimer,31.0,Gunfire
James Earl Holcombe,53.0,Gunfire
James Maneely,44.0,Gunfire
Louis Allinson,37.0,Motorcycle crash
W. W. Tartt,28.0,Gunfire
Francis X. Tierney,31.0,Gunfire
James H. Llewellyn,25.0,Other
"S. Robert ""Bob"" Moore",36.0,Gunfire
John George Jordan,46.0,Other
Clyde Merl Spradling,26.0,Automobile crash
Peter Howard,44.0,Other
James Edward Browning,37.0,Gunfire
David Dobbins,38.0,Gunfire
John Francis Toolen,40.0,Gunfire
James O. Long,40.0,Gunfire
Elijah Newton Boileau,47.0,Gunfire
Thomas Ring,54.0,Gunfire
James O'Neill,49.0,Gunfire
William Ross Riggs,47.0,Other
Edmond Murphy,59.0,Other
Kaiser Bartecki,34.0,Gunfire
Otto G. Ostby,28.0,Motorcycle crash
Hugo P. A. Alvine,41.0,Gunfire
James B. De Shazo,56.0,Other
Frederick Holmes Cook,41.0,Gunfire
Samuel Lou Baucom,37.0,Other
William Wank,48.0,Gunfire
Thomas Allen,39.0,Gunfire
Adam Dubard Hood,46.0,Gunfire
Richard Bibbs,42.0,Gunfire
Alfred F. Klugman,30.0,Other
William Francis Langdon,64.0,Gunfire
Elisha William Bushnell,56.0,Other
"George ""Red"" Kendall",24.0,Gunfire
Charles E. Claiborne,22.0,Other
"Rucker L. ""Harry"" Hockenberry",27.0,Gunfire
Thomas Linn Mathews,30.0,Gunfire
Peter J. Kromer,31.0,Gunfire
Thomas Colquitt,47.0,Struck by vehicle
William Alford Naylor,47.0,Gunfire
Joseph S. Walker,54.0,Gunfire
Samuel Henry Neal,39.0,Gunfire
J. T. Kemp,38.0,Gunfire
Encarnacion Cuellar,36.0,Gunfire
Moses Dykes,32.0,Gunfire
William Clinton Harless,25.0,Gunfire
Elmer C. Anderson,28.0,Other
Pinkney Shay Knox,64.0,Gunfire
Edward G. J. Spilcker,31.0,Gunfire
Fred Hollingsworth,40.0,Gunfire
"John Walter ""Bud"" Scott",44.0,Gunfire
J. C. Freeman,26.0,Gunfire
John Henry Franks,38.0,Gunfire
Nathan Asa Flippin,33.0,Gunfire
Elmer Colby Matthews,25.0,Gunfire
James Edward Maloch,37.0,Gunfire
John Phillip Kearbey,39.0,Gunfire
Herbert Bitzel,28.0,Other
Robert Lee Burdett,32.0,Gunfire
Sam D. Morgan,55.0,Gunfire
Frederick A. Douglass,62.0,Other
Frank E. Burrell,52.0,Other
Henry Reese,32.0,Struck by vehicle
William Alford Gibson,63.0,Other
Wilber W. Hendrickson,44.0,Gunfire
Charles Smith,35.0,Other
Rush A. Webster,43.0,Struck by vehicle
Oliver S. Hopkins,47.0,Vehicular assault
James H. Pace,41.0,Heart attack
Frank McKinsey,44.0,Gunfire
Gus Chitwood,40.0,Gunfire
Arthur Ford,20.0,Other
John F. Dixon,43.0,Gunfire
John E. Miller,33.0,Gunfire
Christian E. Peter,47.0,Other
Edward Maloney,32.0,Gunfire
Willie R. Gawen,31.0,Other
Bennett W. Dorman,49.0,Gunfire
David Raymond Moreland,27.0,Gunfire
John N. Harris,42.0,Gunfire
James C. Gill,38.0,Other
Joseph Russell Sitter,51.0,Gunfire
Harry E. Tucker,42.0,Gunfire
Dewitt Clinton Cooley,54.0,Other
James P. Dolan,38.0,Gunfire
"William L. ""Dutch"" Hauserman",28.0,Gunfire
Charles Schram,64.0,Other
Nelson Harrison Gibson,32.0,Gunfire
John Patrick Murphy,36.0,Other
Robert J. Shannon,37.0,Gunfire
Ivan W. Lincoln,29.0,Gunfire
G. Ord Thompson,44.0,Gunfire
Benjamin Franklyn Ingram,38.0,Gunfire
Frank  X. Heup,38.0,Motorcycle crash
George E. Johnson,38.0,Other
Ralph H. Stahl,43.0,Gunfire
Thomas Harris,41.0,Gunfire
Clarence B. Kettles,39.0,Gunfire
John Edward Clifford,45.0,Vehicular assault
Charles F. Gradwell,53.0,Gunfire
Thomas J. Sullivan,55.0,Gunfire
Daniel S. Carlton,43.0,Gunfire
Charles Preston Phlegar,25.0,Gunfire
Harry P. Minto,51.0,Gunfire
Fred Cromwell,32.0,Gunfire
John J. Earle,34.0,Other
Michael F. Tynan,36.0,Gunfire
Martin C. Jones,56.0,Gunfire
John J. Stapleton,39.0,Motorcycle crash
Jake Giles,50.0,Gunfire
Henry L. Voiers,38.0,Gunfire
Charles William Gudgell,33.0,Struck by vehicle
Arthur A. Doubledee,38.0,Other
John P. McGonigal,33.0,Gunfire
Robert F. Gushe,36.0,Gunfire
John C. Wagner,39.0,Gunfire
Charles V. Thomas,41.0,Gunfire
James P. Madden,31.0,Gunfire
Henry Ruberg,60.0,Other
Charles S. Chastain,63.0,Other
Frank McKissack,31.0,Gunfire
"Herman J. Malow, Jr.",29.0,Gunfire
George A. Barto,57.0,Other
John L. Bialk,40.0,Gunfire
August Arnold,47.0,Automobile crash
George M. Little,30.0,Gunfire
"James M. Karr, Jr.",22.0,Gunfire
John E. Mugan,55.0,Gunfire
Robert E. Nolen,52.0,Gunfire
John Joseph Moriarty,53.0,Gunfire
Charles O. Curtiss,35.0,Gunfire
William F. Cullen,34.0,Other
Charles Goetz,41.0,Struck by vehicle
Hans B. Brandt,29.0,Gunfire
Isaac Hibbs,65.0,Gunfire
Bryan L. O'Donnell,35.0,Other
Martin Moore,28.0,Gunfire
Victor A. McDonald,41.0,Gunfire
William Good,47.0,Gunfire
William A. Dillon,39.0,Other
Edward O'Brien,52.0,Other
Edward Meaney,37.0,Gunfire
V. Elmer Healea,51.0,Gunfire
Henderson D. Trafton,47.0,Gunfire
Thomas Pugh,49.0,Gunfire
Charles W. Keller,47.0,Gunfire
John Phipps,58.0,Other
Elmer Stephenson,45.0,Gunfire
Louis Henry Bamberger,43.0,Other
Jasper Christopher Holmes,30.0,Gunfire
"Lucious  ""Alvan"" North",30.0,Gunfire
William Arthur Spangler,37.0,Gunfire
Harry N. Sayle,23.0,Gunfire
Harry W. Butler,28.0,Gunfire
Edward J. Mulvihill,39.0,Gunfire
Rupert Becker,47.0,Gunfire
Williamson Murray Linker,56.0,Struck by vehicle
John J. McCarthy,39.0,Other
Sanford Newton Haley,45.0,Gunfire
Bart J. McCarthy,29.0,Gunfire
Thomas F. J. O'Grady,36.0,Other
John Henry Wiggins,33.0,Gunfire
Ernest E. Buckley,27.0,Gunfire
Arthur M. Walke,48.0,Other
Edward M. McLaughlin,27.0,Gunfire
Daniel Passage,66.0,Gunfire
Guthrie Diuguid,62.0,Gunfire
James F. Doherty,28.0,Other
Samuel George Wynne,47.0,Gunfire
George Francis Conant,45.0,Other
George Shindle,46.0,Other
Benjamin B. Schmitt,42.0,Gunfire
John H. Cox,47.0,Gunfire
Charlie Marion Hawkins,45.0,Gunfire
Dennis McElroy,40.0,Struck by vehicle
John McKenna,29.0,Gunfire
Matt Olson,46.0,Gunfire
Jefferson F. Beard,45.0,Gunfire
John Louis Beisser,36.0,Gunfire
James Ronco,34.0,Gunfire
John W. Matthews,37.0,Gunfire
Leland Alexander,29.0,Gunfire
Levi A. Bowers,59.0,Gunfire
James P. Cavanaugh,34.0,Other
Otto G. Albertson,55.0,Other
Frank A. Herzog,32.0,Gunfire
John F. Smith,28.0,Other
William Louis Ellis,55.0,Gunfire
Hank L. Baker,54.0,Other
Herbert Vreeland,41.0,Other
W. Roy Thornton,27.0,Gunfire
John F. Weedin,43.0,Gunfire
George V. Purcell,40.0,Gunfire
James D. Delk,27.0,Other
William E. Armistead,30.0,Gunfire
Daniel J. McCarthy,35.0,Gunfire
Joel Baylor Reed,34.0,Gunfire
Henry Froelich,44.0,Gunfire
Joel Martin Wright,36.0,Gunfire
Nels C. Anderson,50.0,Gunfire
James P. Gibson,60.0,Gunfire
William P. Price,75.0,Other
James L. Gardner,44.0,Gunfire
Allen Butler Henderson,51.0,Gunfire
William McAuliffe,35.0,Gunfire
Henry Schwartz,30.0,Gunfire
Richard Squire,43.0,Gunfire
Lewis C. Hipple,43.0,Gunfire
John F. Houlehan,60.0,Gunfire
Anna Hart,45.0,Other
Luther C. Kennedy,65.0,Other
Thomas J. Kronschnable,37.0,Gunfire
Walter R. Kreps,28.0,Motorcycle crash
John Milliron,58.0,Gunfire
Cyrus E. Van Sickle,35.0,Gunfire
John D. Cunningham,51.0,Gunfire
Robert W. Kappenburg,62.0,Struck by vehicle
Lem Nolan,27.0,Gunfire
Walter Isaac Vandorn,29.0,Other
John H. Gates,57.0,Gunfire
John H. Dierker,48.0,Gunfire
William George Grimes,38.0,Other
Ernest H. Keller,35.0,Gunfire
Leroy Wise,35.0,Other
Virgil Arthur McGee,33.0,Other
James D. Hagerty,49.0,Gunfire
"Charles H. ""Pat"" Crowe",39.0,Other
Thomas Deasy,39.0,Gunfire
Thomas Peter Sale,56.0,Heart attack
Frederick Wright,39.0,Motorcycle crash
"Thomas Benjamin ""Ben"" Wallace",51.0,Gunfire
Joseph H. Enos,65.0,Other
W. Raiford Royals,42.0,Gunfire
Vincent J. Moore,31.0,Automobile crash
Edward H. Powell,35.0,Gunfire
Louis S. Wells,32.0,Gunfire
Robert E. Beasley,36.0,Other
Frank J. Crowley,33.0,Gunfire
James A. McCarl,54.0,Other
Clark Blair,33.0,Other
Ralph Maple,27.0,Gunfire
William Z. Henderson,39.0,Gunfire
George Dean,25.0,Gunfire
James J. Duffy,42.0,Gunfire
Alvah H. Countiss,37.0,Gunfire
Charles R. Williams,46.0,Gunfire
James M. Tillery,40.0,Gunfire
Bror A. Johnson,32.0,Gunfire
Joe E. Robertson,39.0,Gunfire
Henry Thomas,52.0,Other
Glenn Marshall,37.0,Gunfire
Samuel J. Robins,43.0,Gunfire
Marion Louis Swords,59.0,Gunfire
Millard F. Davis,52.0,Struck by vehicle
Wilfred Matthews,40.0,Other
George A. Curtis,33.0,Gunfire
John Laufhutte,32.0,Gunfire
William Oscar Alexander,33.0,Gunfire
Robert Emmett Morison,60.0,Gunfire
Frank M. Stearn,69.0,Other
Cornelius Joseph Leyden,45.0,Other
Dwight B. Stephens,43.0,Gunfire
Frank James Dees,42.0,Gunfire
Stuart N. Dean,60.0,Gunfire
Frank Clayton Hutton,35.0,Motorcycle crash
Henry Benoit,41.0,Other
Hugh McKiernan,32.0,Other
Charles H. Stites,56.0,Gunfire
Robert R. Wiley,34.0,Gunfire
Ernest Milton Howell,38.0,Gunfire
William L. Martin,43.0,Other
Robert Lee Harris,37.0,Motorcycle crash
Frank B. Roach,42.0,Gunfire
William H. Cabler,64.0,Gunfire
Walter A. Davis,44.0,Gunfire
James McGinley,34.0,Motorcycle crash
Patrick J. Carr,39.0,Automobile crash
Frank E.  Dulin,26.0,Gunfire
Andrew F. Turner,29.0,Other
William E. Swartz,47.0,Gunfire
Orimel E. Barney,38.0,Other
Harris W. West,27.0,Other
A. B. Chamness,63.0,Vehicular assault
Grover Fulkerson,35.0,Gunfire
Albert Anderson,47.0,Gunfire
John Riley Stonebraker,69.0,Gunfire
Wilburn Taylor,28.0,Gunfire
Isaac A. Kidwell,41.0,Gunfire
Orson McRae,33.0,Gunfire
Julius Sauter,54.0,Gunfire
"J. W. ""Jim"" Johnson",37.0,Gunfire
William C. Boers,45.0,Gunfire
William F. Romaine,35.0,Gunfire
Floyd Little,41.0,Gunfire
Valmore De Rosier,35.0,Gunfire
Daniel Ross Patton,29.0,Gunfire
DeForest Fredenburg,53.0,Other
Ray Watson Daugherty,24.0,Other
"Eugene J. ""Chick"" Lucas",47.0,Gunfire
James H. Killion,39.0,Other
John P. Flood,37.0,Other
Emmanuel Roggers,45.0,Gunfire
Henry T. Adams,45.0,Gunfire
Harvey Hake,54.0,Gunfire
George LePoris,28.0,Other
