Name,Age,Cause
Alvin A. Clark,20.0,Gunfire
John Ormsby,31.0,Gunfire
William Read McMullen,47.0,Gunfire
Thomas A. Welch,35.0,Gunfire
John Stevens,32.0,Gunfire
Henry Bugler,41.0,Gunfire
Charles E. Gall,24.0,Gunfire
Jesse Dickson,26.0,Gunfire
John Curry,55.0,Other
Uriah S. Gregory,71.0,Other
John Hipwell,42.0,Gunfire
John Fuchs,28.0,Gunfire
Samuel S. Cronk,23.0,Other
Thomas G. O'Connor,43.0,Gunfire
Charles H. Keeler,36.0,Gunfire
Reuben Fenstenmaker,41.0,Gunfire
Barry G. Griffin,73.0,Gunfire
Robert S. McChesney,28.0,Other
Walter M. Rogers,26.0,Gunfire
Richard B. Richardson,35.0,Gunfire
Timothy B. Smith,43.0,Gunfire
Benjamin Franklin Orcutt,53.0,Gunfire
Isaac Ward,42.0,Gunfire
John M. Claridge,27.0,Gunfire
Van Ness Wells,36.0,Other
Joseph Burnham,50.0,Gunfire
George Frank S. Griffin,23.0,Gunfire
John M. Fenton,26.0,Gunfire
Joseph Bailey,41.0,Gunfire
William H. Phelps,19.0,Gunfire
Robert A. Reid,26.0,Gunfire
Walter Williams,37.0,Gunfire
John McKinstry,34.0,Gunfire
William Dean Sanford,32.0,Gunfire
David Calvin Crandall,40.0,Gunfire
James Cochran,33.0,Other
James Somers Perry,35.0,Gunfire
William Levan,60.0,Heart attack
Henry Corbett,38.0,Other
John Smedick,35.0,Gunfire
James Young,38.0,Gunfire
John P. Brady,32.0,Other
David S. Faulkner,47.0,Gunfire
John Gear,27.0,Gunfire
John W. Skinner,25.0,Gunfire
George T. Hammonds,26.0,Gunfire
John D. Sullivan,40.0,Gunfire
Lewis C. Story,29.0,Gunfire
Isaac Elbert McCleaird,30.0,Gunfire
Duff G. Williams,31.0,Gunfire
William C. Hall,37.0,Gunfire
Edward Faust,30.0,Gunfire
Joseph Warren Brown,25.0,Gunfire
James Crofton,40.0,Gunfire
John B. Drummond,50.0,Gunfire
Lee Hugh Cordell,37.0,Gunfire
Henry Pratt,27.0,Gunfire
Robert A. Clark,38.0,Gunfire
Darwin J. Finch,27.0,Gunfire
Orson Rodolphus Colgrove,43.0,Gunfire
Willard Griggs,60.0,Gunfire
